post_id,num_likes,time_posted,day
1816355738380413_2024835937532391,6,11:19:27 PM,Thursday
1816355738380413_1941677025848283,14,05:16:31 PM,Sunday
1816355738380413_1900555006627152,11,11:54:31 AM,Saturday
1816355738380413_1898313016851351,24,02:04:53 PM,Thursday
1816355738380413_1892244414124878,20,10:27:13 AM,Saturday
1816355738380413_1872270886122231,22,12:26:49 AM,Wednesday
1816355738380413_1870233682992618,25,02:39:58 AM,Monday
1816355738380413_1858638480818805,25,11:08:55 PM,Friday
1816355738380413_1825001304182523,22,01:27:58 AM,Tuesday
1816355738380413_1739762802706374,25,09:34:10 PM,Thursday
1816355738380413_1702095689806419,25,08:07:50 PM,Friday
1816355738380413_1673690975980224,1,02:16:17 AM,Tuesday
1816355738380413_1655703471112308,25,02:12:27 AM,Sunday
1816355738380413_1637315766284412,4,01:29:15 AM,Friday
1816355738380413_1608995942449728,6,02:11:31 AM,Monday
1816355738380413_1585477961468193,21,02:27:53 AM,Friday
1816355738380413_1570488172967172,25,02:32:20 AM,Wednesday
1816355738380413_1545063505509639,3,03:05:51 AM,Thursday
1816355738380413_1533836556632334,9,03:20:30 AM,Tuesday
1816355738380413_1530804076935582,25,01:29:10 PM,Saturday
1816355738380413_1526246610724662,1,12:40:35 PM,Tuesday
1816355738380413_1523476004335056,12,02:39:04 AM,Sunday
1816355738380413_1515378788478111,25,02:17:51 AM,Sunday
1816355738380413_1492703180745672,21,11:07:46 PM,Sunday
1816355738380413_1463485587000765,1,10:50:07 PM,Monday
1816355738380413_1447201091962548,14,01:02:28 AM,Monday
1816355738380413_1438365986179392,14,09:33:28 PM,Friday
1816355738380413_1428574720491852,25,08:40:51 PM,Monday
1816355738380413_1420400017975989,14,01:36:05 AM,Saturday
1816355738380413_1416178955064762,25,08:48:21 PM,Sunday
1816355738380413_1415330785149579,22,07:25:02 PM,Saturday
1816355738380413_1399784486704209,19,05:19:49 PM,Sunday
1816355738380413_1396439373705387,25,12:54:12 PM,Wednesday
1816355738380413_1395149877167670,25,05:39:00 PM,Monday
1816355738380413_1394880813861243,13,08:28:35 AM,Monday
1816355738380413_1393263414022983,5,04:12:52 AM,Saturday
1816355738380413_1391877310828260,16,02:20:54 PM,Wednesday
1816355738380413_1386754074673917,17,09:48:59 AM,Thursday
1816355738380413_1383830421632949,25,02:05:20 PM,Sunday
1816355738380413_1365322513483740,25,04:04:01 AM,Wednesday
1816355738380413_1365318380150820,25,03:53:55 AM,Wednesday
1816355738380413_1365314163484575,25,03:48:10 AM,Wednesday
1816355738380413_1363389417010383,25,02:46:33 AM,Monday
1816355738380413_1363703260312332,25,02:46:33 AM,Monday
1816355738380413_1362657240416934,25,05:52:05 PM,Saturday
1816355738380413_1361912783824713,25,05:50:55 PM,Friday
1816355738380413_1361569213859070,25,05:51:30 AM,Friday
1816355738380413_1361497797199545,21,03:06:20 AM,Friday
1816355738380413_1361064923909499,25,02:22:08 PM,Thursday
1816355738380413_1360397180642940,18,03:47:09 PM,Wednesday
1816355738380413_1359813750701283,25,09:17:05 PM,Tuesday
1816355738380413_1355450371137621,8,11:30:17 PM,Wednesday
1816355738380413_1351938418155483,17,02:37:32 AM,Saturday
1816355738380413_1348067145209277,10,07:07:30 PM,Sunday
1816355738380413_1348066981875960,0,07:07:09 PM,Sunday
1816355738380413_1346731765342815,24,12:23:44 AM,Saturday
1816355738380413_1338533209496004,23,06:03:16 PM,Monday
1816355738380413_1337370766278915,21,05:02:21 AM,Sunday
1816355738380413_1329138027102189,15,09:22:22 PM,Saturday
1816355738380413_1320974401251885,14,10:47:08 PM,Friday
1816355738380413_1319122438103748,25,09:02:38 PM,Wednesday
1816355738380413_1317932918222700,8,01:11:45 PM,Tuesday
1816355738380413_1294626083886717,12,07:23:09 PM,Friday
1816355738380413_1291637437518915,25,06:05:39 AM,Monday
1816355738380413_1291468717535787,25,11:30:00 PM,Sunday
1816355738380413_1283001031715889,1,04:13:01 AM,Tuesday
1816355738380413_1274103305938995,14,03:07:02 AM,Tuesday
1816355738380413_1247913578557968,10,05:32:55 AM,Thursday
1816355738380413_1242228479126478,21,01:35:26 AM,Monday
1816355738380413_1234938773188782,2,12:58:17 AM,Tuesday
1816355738380413_1233808776635115,3,11:47:58 PM,Saturday
1816355738380413_1230674176948575,14,09:32:37 PM,Sunday
1816355738380413_1230670530282273,12,09:23:39 PM,Sunday
1816355738380413_1229207580428568,9,04:22:59 AM,Friday
1816355738380413_1226092567406736,18,06:18:27 AM,Saturday
1816355738380413_1211556462193680,11,05:42:55 AM,Saturday
1816355738380413_1210482045634455,5,03:34:20 AM,Thursday
1816355738380413_1196197753729551,25,03:46:57 PM,Thursday
1816355738380413_1194422147240445,6,05:00:16 PM,Monday
1816355738380413_1191479847534675,7,05:26:26 PM,Thursday
1816355738380413_1182504658432194,12,09:47:11 PM,Thursday
1816355738380413_1180569411959052,14,09:38:52 PM,Monday
1816355738380413_1170835469599113,10,05:36:59 PM,Saturday
1816355738380413_1162757343740259,5,03:56:16 PM,Sunday
1816355738380413_1158786607470666,2,02:05:58 AM,Monday
1816355738380413_1153685681314092,12,02:16:10 AM,Sunday
1816355738380413_1149924231690237,13,09:48:20 PM,Monday
1816355738380413_1146171782065482,20,08:28:50 PM,Wednesday
1816355738380413_1145668812115779,22,02:08:12 AM,Wednesday
1816355738380413_1144654012217259,12,11:00:21 AM,Monday
1816355738380413_1137480859601241,25,01:58:04 PM,Saturday
1816355738380413_1136048913077769,24,01:17:28 AM,Friday
1816355738380413_1133872583295402,4,08:06:57 PM,Tuesday
1816355738380413_1133416610007666,19,12:43:36 AM,Tuesday
1816355738380413_1132565333426127,18,04:21:57 PM,Sunday
1816355738380413_1132018123480848,6,07:34:50 PM,Saturday
1816355738380413_1130970566918937,25,07:54:56 PM,Thursday
1816355738380413_1127595010589826,22,07:36:13 PM,Friday
1816355738380413_1127126993969961,20,12:32:21 AM,Friday
1816355738380413_1127028723979788,10,07:04:51 PM,Thursday
1816355738380413_1123905400958787,24,09:23:55 PM,Friday
1816355738380413_1119882814694379,21,12:56:36 PM,Saturday
1816355738380413_1119652448050749,6,02:37:39 AM,Saturday
